code,university,link,description
CISS6022,USYD,https://www.sydney.edu.au/units/CISS6022/2025-S1C-ND-CC,"Overview:

The digital revolution has created new frontiers of information that influence almost every aspect of our lives. But does cyberspace also threaten our security? What are the methods and motives for attack? And how can state and non-state actors respond? Drawing on a unique combination of expertise from the Centre for International Security Studies and the School of Information Technologies, this unit introduces students to the technical and political concepts that are necessary to answer these important questions.

Unit details and rules:

- Academic unit: Government and International Relations
- Credit points: 6
- Prerequisites: None
- Corequisites: None
- Prohibitions: None
- Assumed knowledge: None
- Available to study abroad and exchange students: No

Teaching staff:

- Coordinator: Aim Sinpeng, aim.sinpeng@sydney.edu.au
- Lecturer(s): Sulagna Basu, sulagna.basu@sydney.edu.au
- Lecturer(s): Ahmad Azab, ahmad.azab@sydney.edu.au

Assessment:

Assessment breakdown:
- Supervised exam (40%) – Final exam Final exam – Due: Formal exam period; Length: 2 hours
  Outcomes assessed: LO1, LO2, LO3

Weekly schedule:

- Week 01 – Computers and controls
  Activities: Seminar (2 hr)
  Outcomes: LO1, LO2, LO3

Learning outcomes:

Learning outcomes are what students know, understand and are able to do on completion of a unit of study. They are aligned with the University's graduate qualities and are assessed as part of the curriculum.
At the completion of this unit, you should be able to:
Outcomes:
- LO1: critically analyse important concepts and conceptual challenges regarding cyber security
- LO2: demonstrate some familiarity with basic countermeasures to common avenues of attack
- LO3: formulate and communicate written and verbal arguments about politics and technology.
Graduate qualities overview:
The graduate qualities are the qualities and skills that all University of Sydney graduates must demonstrate on successful completion of an award course. As a future Sydney graduate, the set of qualities have been designed to equip you for the contemporary world.
Graduate qualities:
- GQ1 – Depth of disciplinary expertise: Deep disciplinary expertise is the ability to integrate and rigorously apply knowledge, understanding and skills of a recognised discipline defined by scholarly activity, as well as familiarity with evolving practice of the discipline.
- GQ2 – Critical thinking and problem solving: Critical thinking and problem solving are the questioning of ideas, evidence and assumptions in order to propose and evaluate hypotheses or alternative arguments before formulating a conclusion or a solution to an identified problem.
- GQ3 – Oral and written communication: Effective communication, in both oral and written form, is the clear exchange of meaning in a manner that is appropriate to audience and context.
- GQ4 – Information and digital literacy: Information and digital literacy is the ability to locate, interpret, evaluate, manage, adapt, integrate, create and convey information using appropriate resources, tools and strategies.
- GQ5 – Inventiveness: Generating novel ideas and solutions.
- GQ6 – Cultural competence: Cultural Competence is the ability to actively, ethically, respectfully, and successfully engage across and between cultures. In the Australian context, this includes and celebrates Aboriginal and Torres Strait Islander cultures, knowledge systems, and a mature understanding of contemporary issues.
- GQ7 – Interdisciplinary effectiveness: Interdisciplinary effectiveness is the integration and synthesis of multiple viewpoints and practices, working effectively across disciplinary boundaries.
- GQ8 – Integrated professional, ethical, and personal identity: An integrated professional, ethical and personal identity is understanding the interaction between one’s personal and professional selves in an ethical context.
- GQ9 – Influence: Engaging others in a process, idea or vision."
COMP2022,USYD,https://www.sydney.edu.au/units/COMP2022/2025-S2C-ND-CC,"Overview:

This unit provides an introduction to the foundations of computing. The main aims are to introduce and compare different models of computation based on state-machines, grammars and algebra, and logic.

Unit details and rules:

- Academic unit: Computer Science
- Credit points: 6
- Prerequisites: INFO1110 or INFO1910 or INFO1113 or ENGG1810
- Corequisites: COMP2123 or COMP2823
- Prohibitions: COMP2922
- Assumed knowledge: Discrete mathematics and probability (e.g. MATH1064 or equivalent)
- Available to study abroad and exchange students: Yes

Teaching staff:

- Coordinator: Sasha Rubin, sasha.rubin@sydney.edu.au

Assessment:

Assessment breakdown:
- Written exam (60%) – Final Exam Final written examination – Due: Formal exam period; Length: 2 hours; Use of AI: AI prohibited
  Outcomes assessed: LO1, LO2, LO3, LO4, LO5, LO6, LO7, LO8

Weekly schedule:

- Week 01 – Introduction and main themes of the unit
  Activities: Lecture and tutorial (4 hr)
  Outcomes: LO1, LO4

Learning outcomes:

Learning outcomes are what students know, understand and are able to do on completion of a unit of study. They are aligned with the University's graduate qualities and are assessed as part of the curriculum.
At the completion of this unit, you should be able to:
Outcomes:
- LO1: Design a model (regular expression, automaton, context free grammar, Turing machine) for a specified language.
- LO2: Express in English the language of a given model (regular expression, automaton, context free grammar, Turing machine)
- LO3: Convert among equivalently powerful notations for a language, including among DFAs, NFAs, and regular expressions.
- LO4: Determine a language’s place in the Chomsky hierarchy (e.g., regular, context-free, Turing recognisable)
- LO5: Define the classes P and NP.
- LO6: Provide examples of uncomputable functions.
- LO7: Convert logical statements from informal language to propositional and predicate logic expressions.
- LO8: Apply formal methods of symbolic propositional and predicate logic, such as calculating validity of formulae and computing normal forms.
Graduate qualities overview:
The graduate qualities are the qualities and skills that all University of Sydney graduates must demonstrate on successful completion of an award course. As a future Sydney graduate, the set of qualities have been designed to equip you for the contemporary world.
Graduate qualities:
- GQ1 – Depth of disciplinary expertise: Deep disciplinary expertise is the ability to integrate and rigorously apply knowledge, understanding and skills of a recognised discipline defined by scholarly activity, as well as familiarity with evolving practice of the discipline.
- GQ2 – Critical thinking and problem solving: Critical thinking and problem solving are the questioning of ideas, evidence and assumptions in order to propose and evaluate hypotheses or alternative arguments before formulating a conclusion or a solution to an identified problem.
- GQ3 – Oral and written communication: Effective communication, in both oral and written form, is the clear exchange of meaning in a manner that is appropriate to audience and context.
- GQ4 – Information and digital literacy: Information and digital literacy is the ability to locate, interpret, evaluate, manage, adapt, integrate, create and convey information using appropriate resources, tools and strategies.
- GQ5 – Inventiveness: Generating novel ideas and solutions.
- GQ6 – Cultural competence: Cultural Competence is the ability to actively, ethically, respectfully, and successfully engage across and between cultures. In the Australian context, this includes and celebrates Aboriginal and Torres Strait Islander cultures, knowledge systems, and a mature understanding of contemporary issues.
- GQ7 – Interdisciplinary effectiveness: Interdisciplinary effectiveness is the integration and synthesis of multiple viewpoints and practices, working effectively across disciplinary boundaries.
- GQ8 – Integrated professional, ethical, and personal identity: An integrated professional, ethical and personal identity is understanding the interaction between one’s personal and professional selves in an ethical context.
- GQ9 – Influence: Engaging others in a process, idea or vision."
COMP4121,UNSW,,
COMP4128,UNSW,https://www.unsw.edu.au/course-outlines/course-outline#year=2025&term=Term%202&deliveryMode=In%20Person&deliveryFormat=Standard&teachingPeriod=T2&deliveryLocation=Kensington&courseCode=COMP4128&activityGroupId=1,"General Course Information:
Programming Challenges (COMP4128); 6 Units of Credit – Term 2 – Kensington – Delivery: In Person, Standard
Summary: How do competitive programmers solve complex problems in a matter of minutes? In this course, you will design and implement advanced algorithms to solve problems accurately and quickly. You will discover sophisticated applications of dynamic programming, data structures, graph algorithms, mathematics and more. Most importantly, you will learn to deconstruct a problem in order to evaluate which algorithm design techniques are appropriate, combining ideas from different contexts, and address the challenges that lie in both solving the problem conceptually and producing a C/C++ program which enacts your solution. Can you rise to the challenge?
Aims: It is common for computing professionals to be faced with challenging problems that require both algorithmic thinking and skillful programming to solve. The aim of this course is to train students in the implementation of solutions of such problems, focusing on accuracy, efficiency and speed.
Learning approach: Moodle - Learning Management System | Echo 360 | Discourse forum, CMS
Attendance requirements: Students are strongly encouraged to attend all classes and review lecture recordings.

Course Details & Outcomes:
- CLO1: Apply the C++ programming language to solve programming problems (Assessed via: Problem Sets, Contests, Final Exam)
- CLO2: Adapt templated data structures and algorithms to meet the requirements of complex problems (Assessed via: Problem Sets, Contests, Final Exam)
- CLO3: Design and implement algorithmic solutions to complex problems, particularly under short time constraints (Assessed via: Problem Sets, Contests, Final Exam)
- CLO4: Apply algorithm design principles to evaluate programs in terms of correctness and running time (Assessed via: Problem Sets, Contests, Final Exam)

Assessments:
- Problem Sets (48%) – Due: End of exam period; Individual; Students attempt to solve a set of programming problems for each topic, and maintain a diary to reflect on the challenges they encountered. Submissions are automatically marked against a batch of test cases fitting the specifications provided to students. Students receive feedback of 'Accepted', 'Wrong Answer', 'Time Limit Exceeded', 'Runtime Error' and so on for each attempt, and have unlimited attempts at each problem to get the 'Accepted' verdict. Marks are awarded for the number of problems where the 'Accepted' verdict is received: each set consists of six problems, with (one/two/three/four) solved problem per set to achieve (PS/CR/DN/HD) and the final problems to distinguish top achievers. Students can get help from staff in person during lab time, by email or through the course forum. Students are expected to spend about eight hours per week on these problems.; There are no deadlines and no late penalties for the problem sets or problem diaries. However, trying to get through a large portion of the work at the end of term will invite stress and inhibit your ability to engage in classes. If you fall behind, we are happy to discuss a catch-up plan with you, which will usually entail prioritising the easiest problems of each set in the short term. Please email me (and cc your lab instructors) if you are concerned about falling behind.
- Contests (18%) – Due: Weeks 1, 5 and 9 (TBC); Individual; Students will participate in three programming contests during the term. The first is a long contest of duration two days, while the other two are short contests of duration three hours. These contests consist of programming problems from recent course material, with immediate feedback for each submission. Submissions are automatically marked against a batch of test cases fitting the specifications provided to students. Students receive feedback of 'Accepted', 'Wrong Answer', 'Time Limit Exceeded', 'Runtime Error' and so on for each attempt, and have unlimited attempts at each problem to get the 'Accepted' verdict. Marks are again awarded for the number of problems where the 'Accepted' verdict is received, including subtasks.; These contests are conducted remotely. Students are reminded that this is an individual assessment, and urged to conduct themselves with integrity. It is unfortunately difficult to schedule these assessments without clashes with your other classes, and without taking up too much of our already limited class time. I understand that weekends are not ideal for everyone, so if you are not able to participate during the scheduled times, please contact me and I will be happy to make alternative arrangements for you.
- Final Exam (34%) – Due: TBA during exam period; Individual; The final exam is held during the UNSW exam period and is a long contest (approximately 5 hours). This contest consists of programming problems on the entirety of course material, with immediate feedback for each submission. Submissions are automatically marked against a batch of test cases fitting the specifications provided to students. Students receive feedback of 'Accepted', 'Wrong Answer', 'Time Limit Exceeded', 'Runtime Error' and so on for each attempt, and have unlimited attempts at each problem to get the 'Accepted' verdict. Marks are again awarded for the number of problems where the 'Accepted' verdict is received, including subtasks.

Course Schedule:
- Week 1 : 2 June - 8 June: Lecture 1: Introduction
- Week 1 : 2 June - 8 June: Lecture 2: Getting Started
- Week 1 : 2 June - 8 June: Getting Started
- Week 1 : 2 June - 8 June
- Week 1 : 2 June - 8 June: Problem Set 1 released
- Week 1 : 2 June - 8 June: Contest 1
- Week 2 : 9 June - 15 June: Lecture 3: Problem-Solving Paradigms
- Week 2 : 9 June - 15 June: Lecture 4: Data Structures
- Week 2 : 9 June - 15 June: Problem-Solving Paradigms
- Week 2 : 9 June - 15 June
- Week 2 : 9 June - 15 June: Problem Set 2 released
- Week 3 : 16 June - 22 June: Lecture 5: Data Structures (continued)
- Week 3 : 16 June - 22 June: Lecture 6: Data Structures (continued)
- Week 3 : 16 June - 22 June: Data Structures
- Week 3 : 16 June - 22 June
- Week 3 : 16 June - 22 June: Problem Set 3 released
- Week 4 : 23 June - 29 June: Lecture 7: Dynamic Programming
- Week 4 : 23 June - 29 June: Lecture 8: Dynamic Programming (continued)
- Week 4 : 23 June - 29 June: Dynamic Programming
- Week 4 : 23 June - 29 June
- Week 4 : 23 June - 29 June: Problem Set 4 released
- Week 5 : 30 June - 6 July: Lecture 9: Graphs
- Week 5 : 30 June - 6 July: Lecture 10: Graphs (continued)
- Week 5 : 30 June - 6 July: Graphs
- Week 5 : 30 June - 6 July
- Week 5 : 30 June - 6 July: Problem Set 5 released
- Week 6 : 7 July - 13 July: Bonus lecture(s) TBA
- Week 6 : 7 July - 13 July: Contest 2
- Week 7 : 14 July - 20 July: Lecture 11: Shortest Paths
- Week 7 : 14 July - 20 July: Lecture 12: Shortest Paths (continued)
- Week 7 : 14 July - 20 July: Shortest Paths
- Week 7 : 14 July - 20 July
- Week 7 : 14 July - 20 July: Problem Set 6 released
- Week 8 : 21 July - 27 July: Lecture 13: Flow Networks
- Week 8 : 21 July - 27 July: Lecture 14: Flow Networks (continued)
- Week 8 : 21 July - 27 July: Flow Networks
- Week 8 : 21 July - 27 July
- Week 8 : 21 July - 27 July: Problem Set 7 released
- Week 9 : 28 July - 3 August: Lecture 15: Mathematics
- Week 9 : 28 July - 3 August: Lecture 16: Mathematics (continued)
- Week 9 : 28 July - 3 August: Mathematics
- Week 9 : 28 July - 3 August
- Week 9 : 28 July - 3 August: Problem Set 8 released
- Week 9 : 28 July - 3 August: Contest 3
- Week 10 : 4 August - 10 August: Lecture 17: Computational Geometry
- Week 10 : 4 August - 10 August: Lecture 18: Computational Geometry (continued), Exam Revision
- Week 10 : 4 August - 10 August: Computational Geometry
- Week 10 : 4 August - 10 August
- Week 10 : 4 August - 10 August: Problem Set 9 released"
COMP4141,UNSW,https://www.unsw.edu.au/course-outlines/course-outline#year=2025&term=Term%201&deliveryMode=Multimodal&deliveryFormat=Standard&teachingPeriod=T1&deliveryLocation=Kensington&courseCode=COMP4141&activityGroupId=1,"General Course Information:
Theory of Computation (COMP4141); 6 Units of Credit – Term 1 – Kensington – Delivery: Multimodal, Standard
Summary: Computability: formal languages and problems, Turing Machines (TMs), computability, (semi-)decidability, universal TMs, Church-Turing thesis, halting problem, reduction and undecidability proofs, examples; Complexity: run time, space, complexity classes, non-determinism and NP, polynomial reductions and NP completeness, optimisation problems and approximation, randomisation; Languages and Automata: regular expressions and languages, finite automata, determinisation, context-free grammars and languages (CFLs), Chomsky normal form, word problems, pumping lemma, push-down automata, decidability problems for CFLs; Semantics and Correctness: while programs, assertions and program correctness, Hoare logic, loops and loop invariants, relative completeness of Hoare logic (and its role in a proof of Gödel's incompleteness result)
Learning approach: Moodle - Learning Management System | EdStem | Echo 360
Attendance requirements: Students are strongly encouraged to attend all classes and review lecture recordings.

Course Details & Outcomes:
- CLO1: Understand what problems can (and cannot) be solved by computation of various types (regular and context-free languages, pumping lemmas, recursion theory, undecidability, approximation problems) (Assessed via: Assignments, Final Exam)
- CLO2: Understand the notion of computational complexity and complexity classes (Logspace, P,NP, IP, PSPACE, Polynomial Hierarchy, Probabilistic Classes (Assessed via: Assignments, Final Exam)
- CLO3: Understand how we can express computation (finite state automata, push-down automata, Turing Machines, Probabilistic Turing Machines) (Assessed via: Assignments, Final Exam)

Assessments:
- Assignments (50%) – Individual; Weekly problem sets
- Final Exam (50%) – Individual; The final exam will be a two hour long, in person, invigilated written exam.; Hurdle: Students must receive a grade of 40% or higher on this assessment item to pass the course."
COMP4161,UNSW,https://www.unsw.edu.au/course-outlines/course-outline#year=2025&term=Term%203&deliveryMode=Multimodal&deliveryFormat=Standard&teachingPeriod=T3&deliveryLocation=Kensington&courseCode=COMP4161&activityGroupId=1,"General Course Information:
Advanced Topics in Software Verification (COMP4161); 6 Units of Credit – Term 3 – Kensington – Delivery: Multimodal, Standard
Summary: This course is about mechanical proof assistants, how they work, and what they can be used for. It presents specification and proof techniques used in industrial grade theorem provers, teaches the theoretical background to the techniques involved, and shows how to use a theorem prover to conduct formal proofs in practice. The courses is intended to bring third/fourth year and postgraduate students into contact with the current research topics in the field of theorem proving and automated deduction and to teach them the necessary skills to successfully use industrial grade verification environments in modelling and verification. Topics covered included: higher order logic, natural deduction, lambda calculus, term rewriting, data types and recursive functions, induction principles, calculational reasoning, mathematical proofs, decision procedures for a variety of logical domains, and proofs about programs. Note: experience with (first-order) logic and functional programming is required.
Aims: This course teaches you how to do mechanical, machine-assisted proofs---the gold standard of validation for software and mathematics. This provides exposure to an ironclad, principled way of developing safety-critical systems while knowing that you got it right. Students who have taken this course will be well equipped to work in proof engineering, or to undertake research in formal verification.
Learning approach: Moodle - Learning Management System
Attendance requirements: Students are strongly encouraged to attend all classes and review lecture recordings.

Course Details & Outcomes:
- CLO1: Write definitions in the theorem prover Isabelle/HOL (Assessed via: Assignments 1, 2 and 3, Final exam)
- CLO2: Formalise software verification problems (Assessed via: Assignments 1, 2 and 3, Final exam)
- CLO3: Prove theorems in an interactive proof assistant (Assessed via: Assignments 1, 2 and 3, Final exam)
- CLO4: Effectively use proof automation and automatic counter-example finding (Assessed via: Assignments 1, 2 and 3, Final exam)
- CLO5: Formally verify functional programs (Assessed via: Assignments 1, 2 and 3, Final exam)
- CLO6: Formally verify imperative programs, including small C programs (Assessed via: Assignments 1, 2 and 3, Final exam)

Assessments:
- Assignments 1, 2 and 3 (50%) – Due: Weeks 4, 7 and 10 (to be confirmed).; Individual; Students will submit three individual written assignments. Submissions will consist of a small to medium scale Isabelle/HOL theory files and/or pdf files depending on the specific task, each solving a specified formal proof problem. Submissions will be marked against assessment criteria, and written feedback will be available online.
- Final exam (50%) – Due: During the exam period, to be announced.; Individual; The individual take-home exam is done over approx. one day. Students will submit an Isabelle/HOL development that will be marked against assessment criteria.

Course Schedule:
- Week 1 : 15 September - 21 September: Intro, Lambda calculus, natural deduction.
- Week 2 : 22 September - 28 September: Natural deduction, Higher Order Logic, Isar (part 1).
- Week 3 : 29 September - 5 October: Isar (part 1), Term rewriting.
- Week 4 : 6 October - 12 October: Term rewriting, inductively defined sets .
- Week 5 : 13 October - 19 October: Rule induction, datatype induction.
- Week 7 : 27 October - 2 November: Primitive recursion, general recursive functions, termination proofs.
- Week 8 : 3 November - 9 November: Proof automation, Isar (part 2), Hoare logic.
- Week 9 : 10 November - 16 November: Proofs about programs, invariants, C verification.
- Week 10 : 17 November - 23 November: Practice, recap, exam prep."
COMP4418,UNSW,https://www.unsw.edu.au/course-outlines/course-outline#year=2025&term=Term%203&deliveryMode=In%20Person&deliveryFormat=Standard&teachingPeriod=T3&deliveryLocation=Kensington&courseCode=COMP4418&activityGroupId=1,"General Course Information:
Knowledge Representation and Reasoning (COMP4418); 6 Units of Credit – Term 3 – Kensington – Delivery: In Person, Standard
Summary: How can you timetable classes to fit everyone’s schedule? Could tactical voting occur in Australia? Can a single computer program play and solve both sudoku and minesweeper? Knowledge Representation and Reasoning is at the core of Artificial Intelligence and the corresponding course, COMP4418, will equip you to answer the questions above and many other ones, so-called combinatorial problems. To do so, I will teach you “modeling”, that is the representation of a problem and its solutions in a way the computer can understand. You will learn a declarative programming language, a paradigm in which one only specifies what constitutes a solution to a problem and then leaves it to the computer to actually find the solution. With this new tool under your belt, you can effectively tackle most combinatorial problems coming your way, from planning and scheduling to digital circuit synthesis or some limited program verification.
Aims: This course provides an introduction to the important approach to symbolic Artificial Intelligence (AI) known is Knowledge Representation and Reasoning (KRR). KRR has a long and distinguished history of research in AI with a broad range of approaches. In this course we concentrate on formal approaches to KRR, in particular logic based approaches – propositional logic, first-order logic, non-monotonic logic – and how they can be used to solve difficult computational problems. This course can be a starting point for further exploration of artificial intelligence. Further courses include COMP3431/COMP9431: Robotic Software Architecture, COMP9417: Machine Learning and Data Mining, COMP9444: Neural Networks and COMP9844: Extended Neural Networks.
Learning approach: Moodle - Learning Management System
Attendance requirements: Students are strongly encouraged to attend all classes and review lecture recordings.

Course Details & Outcomes:
- CLO1: Identify when a given situation can be formulated with a Knowledge Representation and Reasoning (KRR) approach (Assessed via: Assignment 1, Exam)
- CLO2: Implement a problem model in a KRR language and use existing KRR tools to identify a solution (Assessed via: Assignment 2, Exam)
- CLO3: Break down a task into its domain vocabulary and its combinatorial dimension (Assessed via: Assignment 3, Exam)
- CLO4: Solve new combinatorial problems using declarative programming (Assessed via: Assignment 1, Exam)

Assessments:
- Assignment 1 (15%) – Due: Week 4: 06 October - 12 October; Individual; This assignment requires students to solve problems in knowledge representation, formal logic and reasoning, and commonsense reasoning. Assignments will be marked by tutors, who will also provide feedback on the work.
- Assignment 2 (15%) – Due: Week 7: 27 October - 02 November; Individual; This assignment involves solving decision making problems. Assignments will be marked by tutors, who will also provide feedback on the work.
- Assignment 3 (15%) – Due: Week 10: 17 November - 23 November; Individual; This assignment involves solving problems in non-monotonic reasoning and reasoning about actions. Assignments will be marked by tutors, who will also provide feedback on the work.
- Exam (55%) – Due: TBA - During Exam Week; Individual; The final exam consists of 2 exercises covering the theoretical material of the course and 1 exercise covering the programming aspect of the course. The exercises will be of similar nature to those solved in the assignments. The final exam will take place online with modalities to be confirmed (presumably around 3 hours to complete the exam).

Course Schedule:
- Week 1 : 15 September - 21 September: Logic & Knowledge Representation
- Week 2 : 22 September - 28 September: Logic & Knowledge Representation; Matching with exchange
- Week 3 : 29 September - 5 October: Matching
- Week 4 : 6 October - 12 October: Noncooperative Game Theory
- Week 5 : 13 October - 19 October: Noncooperative Game Theory
- Week 6 : 20 October - 26 October: Flexible Week (no lectures)
- Week 7 : 27 October - 2 November: Fair Allocation
- Week 8 : 3 November - 9 November: Fair Allocation
- Week 9 : 10 November - 16 November: Cooperative Game Theory
- Week 10 : 17 November - 23 November: Social Choice Theory"
COMP4511,UNSW,,
COMP5046,USYD,https://www.sydney.edu.au/units/COMP5046/2025-S1C-NE-CC,"Overview:

This unit introduces computational linguistics and the statistical techniques and algorithms used to automatically process natural languages (such as English or Chinese). It will review the core statistics and information theory, and the basic linguistics, required to understand statistical natural language processing (NLP). Statistical NLP is used in a wide range of applications, including information retrieval and extraction; question answering; machine translation; and classifying and clustering of documents. This unit will explore the key challenges of natural language to computational modelling, and the state of the art approaches to the key NLP sub-tasks, including tokenisation, morphological analysis, word sense representation, part-of-speech tagging, named entity recognition and other information extraction, text categorisation, phrase structure parsing and dependency parsing. You will implement many of these sub-tasks in labs and assignments. The unit will also investigate the annotation process that is central to creating training data for statistical NLP systems. You will annotate data as part of completing a real-world NLP task.

Unit details and rules:

- Academic unit: Computer Science
- Credit points: 6
- Prerequisites: None
- Corequisites: None
- Prohibitions: COMP4446
- Assumed knowledge: Knowledge of an OO programming language
- Available to study abroad and exchange students: Yes

Teaching staff:

- Coordinator: Jonathan Kummerfeld, jonathan.kummerfeld@sydney.edu.au

Assessment:

Assessment breakdown:
- Supervised exam (60%) – Final exam Written exam – Due: Formal exam period; Length: 2 hours
  Outcomes assessed: LO1, LO2, LO3, LO4, LO6

Weekly schedule:

- Week 01 – Introduction and Word Vectors
  Activities: Lecture (2 hr)
  Outcomes: LO1, LO2, LO4
- Week 01 – Introduction and Word Vectors
  Activities: Workshop (1 hr)
  Outcomes: LO5, LO6

Learning outcomes:

Learning outcomes are what students know, understand and are able to do on completion of a unit of study. They are aligned with the University's graduate qualities and are assessed as part of the curriculum.
At the completion of this unit, you should be able to:
Outcomes:
- LO1: apply basic linguistic knowledge to identifying the structure of language
- LO2: have developed formal models to express natural language phenomenon
- LO3: have developed machine learning and deep learning for solving natural language tasks
- LO4: evaluate the performance of natural language processing systems
- LO5: implement and debug large NLP systems in a clean and structured manner
- LO6: apply machine learning/deep learning methods and information theory principles to modelling language.
Graduate qualities overview:
The graduate qualities are the qualities and skills that all University of Sydney graduates must demonstrate on successful completion of an award course. As a future Sydney graduate, the set of qualities have been designed to equip you for the contemporary world.
Graduate qualities:
- GQ1 – Depth of disciplinary expertise: Deep disciplinary expertise is the ability to integrate and rigorously apply knowledge, understanding and skills of a recognised discipline defined by scholarly activity, as well as familiarity with evolving practice of the discipline.
- GQ2 – Critical thinking and problem solving: Critical thinking and problem solving are the questioning of ideas, evidence and assumptions in order to propose and evaluate hypotheses or alternative arguments before formulating a conclusion or a solution to an identified problem.
- GQ3 – Oral and written communication: Effective communication, in both oral and written form, is the clear exchange of meaning in a manner that is appropriate to audience and context.
- GQ4 – Information and digital literacy: Information and digital literacy is the ability to locate, interpret, evaluate, manage, adapt, integrate, create and convey information using appropriate resources, tools and strategies.
- GQ5 – Inventiveness: Generating novel ideas and solutions.
- GQ6 – Cultural competence: Cultural Competence is the ability to actively, ethically, respectfully, and successfully engage across and between cultures. In the Australian context, this includes and celebrates Aboriginal and Torres Strait Islander cultures, knowledge systems, and a mature understanding of contemporary issues.
- GQ7 – Interdisciplinary effectiveness: Interdisciplinary effectiveness is the integration and synthesis of multiple viewpoints and practices, working effectively across disciplinary boundaries.
- GQ8 – Integrated professional, ethical, and personal identity: An integrated professional, ethical and personal identity is understanding the interaction between one’s personal and professional selves in an ethical context.
- GQ9 – Influence: Engaging others in a process, idea or vision."
COMP5047,USYD,https://www.sydney.edu.au/units/COMP5047/2025-S2C-ND-CC,"Overview:

This is an advanced course on Pervasive Computing, with a focus on the Internet of Things (IoT). It introduces the key aspects of the IoT and explores these in terms of the new research towards creating user interfaces that disappear into the environment and are available pervasively, for example in homes, workplaces, cars and carried.

Unit details and rules:

- Academic unit: Computer Science
- Credit points: 6
- Prerequisites: None
- Corequisites: None
- Prohibitions: COMP4447
- Assumed knowledge: ELEC1601 and (COMP2129 or COMP2017 or COMP9017). Background in programming and operating systems that is sufficient for the student to independently learn new programming tools from standard online technical materials
- Available to study abroad and exchange students: Yes

Teaching staff:

- Coordinator: Eduardo Velloso, eduardo.velloso@sydney.edu.au

Assessment:

Assessment summary:
- Project: Students are to to create a prototype pervasive computing system, evaluate it and report on the approaches used for the design and evaluation. The assessment will be based on two reports, a video and a presentation.
Assessment breakdown:
- Written exam (50%) – Final exam Final exam (in-person). Students need to get a minimum of 40% in the final – Due: Formal exam period; Length: 2 hours; Use of AI: AI prohibited
  Outcomes assessed: LO1, LO2, LO3, LO4, LO5, LO6, LO7

Weekly schedule:

- Week 01 – Introduction to pervasive computing
  Activities: Lecture (2 hr)
  Outcomes: LO1, LO2, LO3, LO4

Learning outcomes:

Learning outcomes are what students know, understand and are able to do on completion of a unit of study. They are aligned with the University's graduate qualities and are assessed as part of the curriculum.
At the completion of this unit, you should be able to:
Outcomes:
- LO1: analyse a context to define the overall goals of a new pervasive system
- LO2: select suitable techniques for establishing a pervasive computing system and have the ability to make use of these techniques
- LO3: apply standard design approaches to creating a pervasive interface, and to adapt these to the particular emerging demands of pervasive computing systems
- LO4: evaluate pervasive interfaces, based upon both technical and user-based techniques, and be able to select the most appropriate technique for a particular situation and justify this selection
- LO5: explain how technical and human factors influence aspects of design of interfaces
- LO6: bring together design and evaluation techniques to create a prototype interface that is designed to address a given need
- LO7: write a report on the prototype system created.
Graduate qualities overview:
The graduate qualities are the qualities and skills that all University of Sydney graduates must demonstrate on successful completion of an award course. As a future Sydney graduate, the set of qualities have been designed to equip you for the contemporary world.
Graduate qualities:
- GQ1 – Depth of disciplinary expertise: Deep disciplinary expertise is the ability to integrate and rigorously apply knowledge, understanding and skills of a recognised discipline defined by scholarly activity, as well as familiarity with evolving practice of the discipline.
- GQ2 – Critical thinking and problem solving: Critical thinking and problem solving are the questioning of ideas, evidence and assumptions in order to propose and evaluate hypotheses or alternative arguments before formulating a conclusion or a solution to an identified problem.
- GQ3 – Oral and written communication: Effective communication, in both oral and written form, is the clear exchange of meaning in a manner that is appropriate to audience and context.
- GQ4 – Information and digital literacy: Information and digital literacy is the ability to locate, interpret, evaluate, manage, adapt, integrate, create and convey information using appropriate resources, tools and strategies.
- GQ5 – Inventiveness: Generating novel ideas and solutions.
- GQ6 – Cultural competence: Cultural Competence is the ability to actively, ethically, respectfully, and successfully engage across and between cultures. In the Australian context, this includes and celebrates Aboriginal and Torres Strait Islander cultures, knowledge systems, and a mature understanding of contemporary issues.
- GQ7 – Interdisciplinary effectiveness: Interdisciplinary effectiveness is the integration and synthesis of multiple viewpoints and practices, working effectively across disciplinary boundaries.
- GQ8 – Integrated professional, ethical, and personal identity: An integrated professional, ethical and personal identity is understanding the interaction between one’s personal and professional selves in an ethical context.
- GQ9 – Influence: Engaging others in a process, idea or vision."
